Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score,Age_Group,Addicted_Score_Norm,Addiction_Level,Affects_Academic_Performance_Numeric
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8,19-21,0.9855499657710435,High,1
2,22,Male,Graduate,India,2.1,Twitter,No,7.5,8,Single,0,3,22-24,-2.166957864848674,Low,0
3,20,Female,Undergraduate,Usa,6.0,Tiktok,Yes,5.0,5,Complicated,4,9,19-21,1.616051531894987,High,1
4,18,Male,High School,Uk,3.0,Youtube,No,7.0,7,Single,1,4,16-18,-1.5364562987247306,Low,0
5,21,Male,Graduate,Canada,4.5,Facebook,Yes,6.0,6,In Relationship,2,7,19-21,0.3550483996471,Medium,1
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9,19-21,1.616051531894987,High,1
7,23,Male,Graduate,Germany,1.5,Linkedin,No,8.0,9,Single,0,2,22-24,-2.7974594309726175,Low,0
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8,19-21,0.9855499657710435,High,1
9,18,Male,High School,Japan,4.0,Tiktok,No,6.5,7,Single,1,5,16-18,-0.9059547326007871,Low,0
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4,19-21,-1.5364562987247306,Low,0
11,19,Male,Undergraduate,France,4.8,Snapchat,Yes,6.2,5,Complicated,3,7,19-21,0.3550483996471,Medium,1
12,20,Female,Undergraduate,Spain,5.5,Tiktok,Yes,5.8,6,In Relationship,2,8,19-21,0.9855499657710435,High,1
13,22,Male,Graduate,Italy,2.8,Linkedin,No,7.2,8,Single,1,4,22-24,-1.5364562987247306,Low,0
14,18,Female,High School,Mexico,6.5,Instagram,Yes,5.5,5,Single,4,9,16-18,1.616051531894987,High,1
15,21,Male,Undergraduate,Russia,3.7,Youtube,No,6.8,7,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
16,20,Female,Undergraduate,China,4.2,Tiktok,Yes,6.0,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
17,24,Male,Graduate,Sweden,2.0,Linkedin,No,7.8,8,Single,0,3,22-24,-2.166957864848674,Low,0
18,19,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8,19-21,0.9855499657710435,High,1
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5,19-21,-0.9059547326007871,Low,0
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
21,18,Male,High School,Belgium,5.3,Tiktok,Yes,5.5,5,Single,4,8,16-18,0.9855499657710435,High,1
22,23,Female,Graduate,Switzerland,2.5,Linkedin,No,7.3,8,In Relationship,1,4,22-24,-1.5364562987247306,Low,0
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
24,20,Female,Undergraduate,Portugal,5.7,Tiktok,Yes,5.4,5,Single,4,8,19-21,0.9855499657710435,High,1
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5,22-24,-0.9059547326007871,Low,0
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9,19-21,1.616051531894987,High,1
27,21,Male,Undergraduate,New Zealand,3.8,Youtube,No,6.6,7,Single,1,5,19-21,-0.9059547326007871,Low,0
28,20,Female,Undergraduate,Singapore,4.4,Tiktok,Yes,5.9,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
29,24,Male,Graduate,Malaysia,2.2,Linkedin,No,7.4,8,Single,0,3,22-24,-2.166957864848674,Low,0
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8,19-21,0.9855499657710435,High,1
31,21,Male,Undergraduate,Vietnam,3.6,Facebook,No,6.7,7,Single,1,5,19-21,-0.9059547326007871,Low,0
32,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
33,18,Male,High School,Indonesia,5.4,Tiktok,Yes,5.4,5,Complicated,4,8,16-18,0.9855499657710435,High,1
34,23,Female,Graduate,Taiwan,2.6,Linkedin,No,7.2,8,Single,1,4,22-24,-1.5364562987247306,Low,0
35,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
36,20,Female,Undergraduate,Turkey,5.6,Tiktok,Yes,5.5,5,Complicated,4,8,19-21,0.9855499657710435,High,1
37,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5,22-24,-0.9059547326007871,Low,0
38,19,Female,High School,Uae,6.2,Instagram,Yes,5.1,5,In Relationship,4,9,19-21,1.616051531894987,High,1
39,21,Male,Undergraduate,Egypt,3.9,Youtube,No,6.5,7,Complicated,2,6,19-21,-0.27545316647684354,Medium,0
40,20,Female,Undergraduate,Morocco,4.5,Tiktok,Yes,5.8,6,Single,3,7,19-21,0.3550483996471,Medium,1
41,24,Male,Graduate,South Africa,2.3,Linkedin,No,7.3,8,In Relationship,1,4,22-24,-1.5364562987247306,Low,0
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8,19-21,0.9855499657710435,High,1
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5,19-21,-0.9059547326007871,Low,0
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
45,18,Male,High School,Argentina,5.5,Tiktok,Yes,5.3,5,Single,4,8,16-18,0.9855499657710435,High,1
46,23,Female,Graduate,Chile,2.7,Linkedin,No,7.1,8,Complicated,1,4,22-24,-1.5364562987247306,Low,0
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
48,20,Female,Undergraduate,Peru,5.5,Tiktok,Yes,5.6,5,Single,4,8,19-21,0.9855499657710435,High,1
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5,22-24,-0.9059547326007871,Low,0
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9,19-21,1.616051531894987,High,1
51,21,Male,Undergraduate,Uruguay,3.8,Youtube,No,6.4,7,Single,2,6,19-21,-0.27545316647684354,Medium,0
52,20,Female,Undergraduate,Paraguay,4.7,Tiktok,Yes,5.8,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
53,24,Male,Graduate,Bolivia,2.4,Linkedin,No,7.2,8,Complicated,1,4,22-24,-1.5364562987247306,Low,0
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8,19-21,0.9855499657710435,High,1
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
57,18,Male,High School,Trinidad,5.6,Tiktok,Yes,5.2,5,Single,4,8,16-18,0.9855499657710435,High,1
58,23,Female,Graduate,Bahamas,2.8,Linkedin,No,7.0,8,In Relationship,1,4,22-24,-1.5364562987247306,Low,0
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
60,20,Female,Undergraduate,Finland,5.4,Tiktok,Yes,5.7,5,Single,4,8,19-21,0.9855499657710435,High,1
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5,22-24,-0.9059547326007871,Low,0
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8,19-21,0.9855499657710435,High,1
63,20,Male,Undergraduate,Hungary,4.2,Tiktok,Yes,6.0,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9,16-18,1.616051531894987,High,1
65,23,Male,Graduate,Slovakia,2.3,Linkedin,No,7.4,8,In Relationship,1,3,22-24,-2.166957864848674,Low,0
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7,19-21,0.3550483996471,Medium,1
67,20,Male,Undergraduate,Serbia,3.9,Youtube,No,6.5,7,Complicated,2,6,19-21,-0.27545316647684354,Medium,0
68,19,Female,High School,Slovenia,5.7,Tiktok,Yes,5.4,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
69,22,Male,Graduate,Bulgaria,2.8,Linkedin,No,7.2,8,Single,1,4,22-24,-1.5364562987247306,Low,0
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8,16-18,0.9855499657710435,High,1
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
73,19,Male,Undergraduate,Ukraine,4.9,Tiktok,Yes,5.7,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8,19-21,0.9855499657710435,High,1
75,23,Male,Graduate,Belarus,2.5,Linkedin,No,7.3,8,In Relationship,1,4,22-24,-1.5364562987247306,Low,0
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7,19-21,0.3550483996471,Medium,1
77,19,Male,High School,Uzbekistan,5.5,Tiktok,Yes,5.4,5,Complicated,4,8,19-21,0.9855499657710435,High,1
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7,In Relationship,2,5,22-24,-0.9059547326007871,Low,0
79,20,Male,Undergraduate,Tajikistan,4.7,Youtube,Yes,5.9,6,Single,3,7,19-21,0.3550483996471,Medium,1
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9,16-18,1.616051531894987,High,1
81,21,Male,Graduate,Georgia,3.0,Linkedin,No,7.1,8,In Relationship,1,4,19-21,-1.5364562987247306,Low,0
82,19,Female,Undergraduate,Azerbaijan,4.8,Tiktok,Yes,5.7,6,Single,3,7,19-21,0.3550483996471,Medium,1
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6,19-21,-0.27545316647684354,Medium,0
84,22,Female,Graduate,Malta,2.7,Linkedin,No,7.2,8,In Relationship,1,4,22-24,-1.5364562987247306,Low,0
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8,16-18,0.9855499657710435,High,1
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
87,19,Male,High School,Andorra,5.3,Tiktok,Yes,5.5,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
88,23,Female,Graduate,San Marino,2.6,Linkedin,No,7.3,8,Single,1,4,22-24,-1.5364562987247306,Low,0
89,20,Male,Undergraduate,Vatican City,4.4,Youtube,Yes,6.0,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9,16-18,1.616051531894987,High,1
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,5,22-24,-0.9059547326007871,Low,0
92,19,Female,Undergraduate,Albania,4.7,Tiktok,Yes,5.8,6,Complicated,3,7,19-21,0.3550483996471,Medium,1
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,19-21,-0.27545316647684354,Medium,0
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
95,23,Male,Graduate,Bosnia,2.4,Linkedin,No,7.4,8,Complicated,1,4,22-24,-1.5364562987247306,Low,0
96,19,Female,Undergraduate,Qatar,4.9,Tiktok,Yes,5.7,6,Single,3,7,19-21,0.3550483996471,Medium,1
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,16-18,0.9855499657710435,High,1
98,22,Female,Graduate,Bahrain,2.8,Linkedin,No,7.1,8,Complicated,1,4,22-24,-1.5364562987247306,Low,0
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,19-21,0.3550483996471,Medium,1
100,21,Female,Undergraduate,Jordan,5.4,Tiktok,Yes,5.5,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
101,19,Male,High School,Lebanon,5.8,Youtube,Yes,5.2,5,Complicated,4,9,19-21,1.616051531894987,High,1
102,23,Female,Graduate,Iraq,2.5,Linkedin,No,7.3,8,Single,1,4,22-24,-1.5364562987247306,Low,0
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,16-18,0.9855499657710435,High,1
105,22,Male,Graduate,Afghanistan,2.9,Linkedin,No,7.0,7,Complicated,2,5,22-24,-0.9059547326007871,Low,0
106,19,Female,Undergraduate,Pakistan,4.8,Tiktok,Yes,5.7,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
107,21,Male,Undergraduate,Nepal,3.8,Youtube,No,6.6,7,Single,2,6,19-21,-0.27545316647684354,Medium,0
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,19-21,0.9855499657710435,High,1
109,23,Male,Graduate,Sri Lanka,2.6,Linkedin,No,7.2,8,In Relationship,1,4,22-24,-1.5364562987247306,Low,0
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,19-21,0.3550483996471,Medium,1
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,19-21,0.9855499657710435,High,1
112,21,Female,Undergraduate,India,5.8,Tiktok,Yes,5.9,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,19-21,-0.9059547326007871,Low,0
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8,22-24,0.9855499657710435,High,1
115,20,Male,Undergraduate,Sri Lanka,5.2,Tiktok,Yes,6.3,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,19-21,-0.9059547326007871,Low,0
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,19-21,0.3550483996471,Medium,1
119,22,Male,Graduate,Nepal,4.7,Tiktok,No,7.3,7,Single,2,5,22-24,-0.9059547326007871,Low,0
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,19-21,0.3550483996471,Medium,1
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
123,19,Male,Undergraduate,Bangladesh,5.3,Tiktok,Yes,6.3,5,Single,4,8,19-21,0.9855499657710435,High,1
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,22-24,0.3550483996471,Medium,1
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,19-21,-0.9059547326007871,Low,0
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
127,19,Male,Undergraduate,Sri Lanka,5.7,Tiktok,Yes,5.7,6,Single,3,7,19-21,0.3550483996471,Medium,1
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,22-24,0.9855499657710435,High,1
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
131,19,Male,Undergraduate,Nepal,4.3,Tiktok,No,7.7,7,Single,2,5,19-21,-0.9059547326007871,Low,0
132,20,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7,22-24,0.3550483996471,Medium,1
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
135,19,Male,Undergraduate,Bangladesh,4.9,Tiktok,Yes,6.7,5,Single,4,8,19-21,0.9855499657710435,High,1
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5,22-24,-0.9059547326007871,Low,0
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
139,19,Male,Undergraduate,Sri Lanka,5.3,Tiktok,Yes,5.3,6,Single,3,7,19-21,0.3550483996471,Medium,1
140,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8,22-24,0.9855499657710435,High,1
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
143,19,Male,Undergraduate,Nepal,3.9,Tiktok,No,8.1,7,Single,2,5,19-21,-0.9059547326007871,Low,0
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7,22-24,0.3550483996471,Medium,1
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
147,19,Male,Undergraduate,Bangladesh,4.5,Tiktok,Yes,7.1,5,Single,4,8,19-21,0.9855499657710435,High,1
148,20,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5,22-24,-0.9059547326007871,Low,0
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
151,19,Male,Undergraduate,Sri Lanka,4.9,Tiktok,Yes,4.9,6,Single,3,7,19-21,0.3550483996471,Medium,1
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
153,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,8,22-24,0.9855499657710435,High,1
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
155,19,Male,Undergraduate,Nepal,3.5,Tiktok,No,8.5,7,Single,2,5,19-21,-0.9059547326007871,Low,0
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8,19-21,0.9855499657710435,High,1
157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7,22-24,0.3550483996471,Medium,1
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5,19-21,-0.9059547326007871,Low,0
159,19,Male,Undergraduate,Bangladesh,4.1,Tiktok,Yes,7.5,5,Single,4,8,19-21,0.9855499657710435,High,1
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,7,19-21,0.3550483996471,Medium,1
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,7,19-21,0.3550483996471,Medium,1
162,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,6,19-21,-0.27545316647684354,Medium,0
163,20,Female,Undergraduate,Nepal,5.5,Tiktok,Yes,5.9,6,Single,4,8,19-21,0.9855499657710435,High,1
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7,22-24,0.3550483996471,Medium,1
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7,Single,2,5,19-21,-0.9059547326007871,Low,0
166,21,Male,Graduate,Maldives,5.4,Tiktok,Yes,6.0,6,In Relationship,4,8,19-21,0.9855499657710435,High,1
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,7,19-21,0.3550483996471,Medium,1
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6,22-24,-0.27545316647684354,Medium,0
169,19,Female,Undergraduate,Nepal,5.6,Tiktok,Yes,5.8,6,Single,4,8,19-21,0.9855499657710435,High,1
170,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,7,19-21,0.3550483996471,Medium,1
171,20,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7,Single,2,5,19-21,-0.9059547326007871,Low,0
